Frequency (THz),Measured Reflectivity (abs),Fitted Reflectivity (abs),Real(n),Imaginary(n)
8.59375e-12,2.0154022777387466,1.0,3943877.826160329,-72942.09099412957
8.69140625e-12,1.927130603768765,1.0,3899609.2680505663,-71313.51349230095
8.7890625e-12,1.809224917265034,1.0,3856322.993095391,-69738.86061619208
8.88671875e-12,1.7106905977230062,1.0,3813986.681466437,-68215.77829946793
8.984375e-12,1.6623178486110248,1.0,3772569.4151762417,-66742.03951270737
9.08203125e-12,1.6486356269931164,1.0,3732041.602923856,-65315.53612673955
9.1796875e-12,1.6243724854602284,1.0,3692374.909721944,-63934.27137741236
9.27734375e-12,1.568721602393379,1.0,3653542.1909543304,-62596.35288153004
9.375e-12,1.5139188357942073,1.0,3615517.4305421244,-61299.98615837246
9.47265625e-12,1.502163615289537,1.0,3578275.6829229356,-60043.468615406666
9.5703125e-12,1.5414373463914433,1.0,3541793.018571777,-58825.183960573064
9.66796875e-12,1.5999856330542688,1.0,3506046.472814064,-57643.59700692298
9.765625e-12,1.6305801489896268,1.0,3471013.997701025,-56497.24883844252
9.86328125e-12,1.6148629402824692,1.0,3436674.416735963,-55384.752308653595
9.9609375e-12,1.5846965425158035,1.0,3403007.3822563402,-54304.78784607287
1.005859375e-11,1.5838028621187639,1.0,3369993.335291759,-53256.099542856966
1.015625e-11,1.6185286995935533,1.0,3337613.467731687,-52237.49150499784
1.025390625e-11,1.6587603186303526,1.0,3305849.6866494175,-51247.82444427264
1.03515625e-11,1.673576971655669,1.0,3274684.580640277,-50286.01249382313
1.044921875e-11,1.6598143119709565,1.0,3244101.388042699,-49351.020230752496
1.0546875e-11,1.6441434268815556,1.0,3214083.966920449,-48441.85989050413
1.064453125e-11,1.647619176068289,1.0,3184616.7666932396,-47557.58875903514
1.07421875e-11,1.6508977518250922,1.0,3155684.8013110985,-46697.30672993596
1.083984375e-11,1.6152852703008564,1.0,3127273.62387541,-45860.15401468102
1.09375e-11,1.5293780753864623,1.0,3099369.3026164444,-45045.30899513989
1.103515625e-11,1.425933364745603,1.0,3071958.3981435606,-44251.98620833815
1.11328125e-11,1.3510002175994498,1.0,3045027.941890136,-43479.43445424337
1.123046875e-11,1.3203777042131195,1.0,3018565.415680675,-42726.93501806794
1.1328125e-11,1.3136376217227814,1.0,2992558.7323525553,-41993.79999923775
1.142578125e-11,1.3102811858718697,1.0,2966996.217369448,-41279.37073977561
1.15234375e-11,1.324328589351046,1.0,2941866.5913677416,-40583.016345397766
1.162109375e-11,1.396052447881207,1.0,2917158.953581197,-39904.132293126255
1.171875e-11,1.5449869490849975,1.0,2892862.766092734,-39242.139119681866
1.181640625e-11,1.6646788306102431,1.0,2868967.838865587,-38596.48118534611
1.19140625e-11,1.5926467537904463,1.0,2845464.315509241,-37966.62550837112
1.201171875e-11,1.4806770540690504,1.0,2822342.659738387,-37352.06066537343
1.2109375e-11,1.4563191930400818,1.0,2799593.642485882,-36752.29575347798
1.220703125e-11,1.4858636279659179,1.0,2777208.3296331563,-36166.85941028108
1.23046875e-11,1.4531182769058733,1.0,2755178.0703238384,-35595.29888798096
1.240234375e-11,1.1199303178834705,1.0,2733494.485828517,-35037.17917828133
1.25e-11,0.7025352237230678,1.0,2712149.458930558,-34492.082184911094
1.259765625e-11,0.9155267582788638,1.0,2691135.123804763,-33959.6059408227
1.26953125e-11,1.4204715585453471,1.0,2670443.856362374,-33439.363867333246
1.279296875e-11,2.5013803836687796,1.0,2650068.265037563,-32930.984072660096
1.2890625e-11,3.669176773930661,1.0,2630001.181992028,-32434.108687475196
1.298828125e-11,0.9188402400790541,1.0,2610235.6547157415,-31948.393235262472
1.30859375e-11,0.5652778082305702,1.0,2590764.938003185,-31473.506035410657
1.318359375e-11,0.6801956159048028,1.0,2571582.4862856367,-31009.127637111025
1.328125e-11,1.0071930597383967,1.0,2552681.9463012256,-30554.95028225669
1.337890625e-11,1.6356925971174587,1.0,2534057.1500855125,-30110.67739565811
1.34765625e-11,1.4208064050540115,1.0,2515702.10826638,-29676.023100998493
1.357421875e-11,0.9175580079100484,1.0,2497611.0036479197,-29250.711761054747
1.3671875e-11,0.7368105191253166,1.0,2479778.185068898,-28834.47754080382
1.376953125e-11,0.7290832581481361,1.0,2462198.161522194,-28427.06399212178
1.38671875e-11,0.8579959811439184,1.0,2444865.5965223545,-28028.223658864878
1.396484375e-11,1.12492338007072,1.0,2427775.3027091553,-27637.717701197213
1.40625e-11,1.4680689296859304,1.0,2410922.2366756983,-27255.31553810086
1.416015625e-11,1.8284969018537602,1.0,2394301.494010234,-26880.7945070694
1.42578125e-11,2.269539887380657,1.0,2377908.3045414714,-26513.939540047733
1.435546875e-11,2.8116484805549344,1.0,2361738.0277777016,-26154.542854737694
1.4453125e-11,3.3298224072964677,1.0,2345786.1485305834,-25802.403660442505
1.455078125e-11,3.6436526541893515,1.0,2330048.272714922,-25457.327877672895
1.46484375e-11,3.7690783268477435,1.0,2314520.123316257,-25119.1278707839
1.474609375e-11,3.945220904946025,1.0,2299197.536518459,-24787.622192955107
1.484375e-11,4.194494551199404,1.0,2284076.4579840177,-24462.63534286713
1.494140625e-11,3.7701750655927238,1.0,2269152.9392800103,-24143.997532465553
1.50390625e-11,2.6962950089933626,1.0,2254423.1344431555,-23831.54446523861
1.513671875e-11,1.510238845408533,1.0,2239883.2966776756,-23525.11712446812
1.5234375e-11,0.5453057543547627,1.0,2225529.7751800185,-23224.561570944476
1.533203125e-11,0.47599317994517093,1.0,2211359.012084785,-22929.728749665195
1.54296875e-11,1.0150512179267261,1.0,2197367.5395264993,-22640.474305064166
1.552734375e-11,1.0083950842847613,1.0,2183551.9768121433,-22356.658404343856
1.5625e-11,0.5541319419437781,1.0,2169909.0276995846,-22078.145568507207
1.572265625e-11,0.34821643777580824,1.0,2156435.4777773395,-21804.804510707836
1.58203125e-11,0.42013939048121846,1.0,2143128.191941259,-21536.5079815587
1.591796875e-11,0.5329139917715185,1.0,2129984.111964011,-21273.132621059074
1.6015625e-11,0.6003964886563671,1.0,2117000.254153383,-21014.558816817997
1.611328125e-11,0.6485195226957085,1.0,2104173.7070956505,-20760.670568270398
1.62109375e-11,0.7884204134928868,1.0,2091501.629480429,-20511.355356597775
1.630859375e-11,1.031043875265628,1.0,2078981.2480035939,-20266.50402008161
1.640625e-11,0.9376852441864331,1.0,2066609.8553450182,-20026.01063463144
1.650390625e-11,0.6553897508026298,1.0,2054384.8082180396,-19789.77239924367
1.66015625e-11,0.43793901565610655,1.0,2042303.5254877012,-19557.68952615999
1.669921875e-11,0.31532020607022715,1.0,2030363.4863549531,-19329.665135506195
1.6796875e-11,0.4086426603039534,1.0,2018562.2286041365,-19105.60515420388
1.689453125e-11,0.7613156100651397,1.0,2006897.3469111922,-18885.418218958097
1.69921875e-11,1.3887516838804022,1.0,1995366.4912101498,-18669.0155831342
1.708984375e-11,2.816323012597811,1.0,1983967.3651155739,-18456.311027346826
1.71875e-11,4.059693373764365,1.0,1972697.7243987387,-18247.220773592675
1.728515625e-11,1.1762213473760015,1.0,1961555.3755154125,-18041.663402767674
1.73828125e-11,0.865877636885436,1.0,1950538.1741832232,-17839.559775416878
1.748046875e-11,0.893111382945587,1.0,1939644.024006669,-17640.83295557303
1.7578125e-11,0.8600835143103647,1.0,1928870.875147916,-17445.408137547147
1.767578125e-11,0.817200927957027,1.0,1918216.7230416301,-17253.21257554094
1.77734375e-11,0.934724421596731,1.0,1907679.6071521312,-17064.17551595754
1.787109375e-11,1.3929339193112888,1.0,1897257.6097712656,-16878.228132292963
1.796875e-11,2.3947980269732168,1.0,1886948.8548554475,-16695.303462496424
